75.5,   2570,    258,      0,   1490,   2540,   7878,   8064,  29396,  30783,  37504,  54983,      1,   2827,
75.5,   2570,    258,      0,   4688,   2549,   9353,   8050,  29396,  30783,  37504,  54983,     13,   2827,
75.5,   2570,    258,      0,   4681,   2551,   9350,   8046,  29396,  30783,  37504,  54983,     14,   2827,
75.5,   2570,    258,      0,   4673,   2553,   9345,   8040,  29396,  30783,  37504,  54983,     15,   2827,
75.5,   2570,    258,      0,   4665,   2556,   9343,   8038,  29396,  30783,  37504,  54983,     16,   2827,
75.5,   2570,    258,      0,   4657,   2557,   9337,   8032,  29396,  30783,  37504,  54983,     17,   2827,
75.5,   2570,    258,      0,   4634,   2561,   9326,   8025,  29396,  30783,  37504,  54983,     18,   2827,
75.5,   2570,    258,      0,   4643,   2563,   9330,   8021,  29396,  30783,  37504,  54983,     19,   2827,
75.5,   2570,    258,      0,   4650,   2568,   9332,   8015,  29396,  30783,  37504,  54983,     20,   2827,
75.5,   2570,    258,      0,   4626,   2570,   9320,   8009,  29396,  30783,  37504,  54983,     21,   2827,
75.5,   2570,    258,      0,   4595,   2572,   9307,   8007,  29396,  30783,  37504,  54983,     22,   2827,
75.5,   2570,    258,      0,   4572,   2575,   9293,   8001,  29396,  30783,  37504,  54983,     23,   2827,
75.5,   2570,    258,      0,   4565,   2579,   9289,   7995,  29396,  30783,  37504,  54983,     24,   2827,
75.5,   2570,    258,      0,   4565,   2579,   9290,   7992,  29396,  30783,  37504,  54983,     25,   2827,
75.5,   2570,    258,      0,   4572,   2580,   9294,   7988,  29396,  30783,  37504,  54983,     26,   2827,
75.5,   2570,    258,      0,   4580,   2585,   9298,   7981,  29396,  30783,  37504,  54983,     27,   2827,
75.5,   2570,    258,      0,   4595,   2589,   9304,   7973,  29396,  30783,  37504,  54983,     28,   2827,
75.5,   2570,    258,      0,   4603,   2595,   9310,   7963,  29396,  30783,  37504,  54983,     29,   2827,
75.5,   2570,    258,      0,   4603,   2597,   9310,   7958,  29396,  30783,  37504,  54983,     30,   2827,
75.5,   2570,    258,      0,   4603,   2602,   9308,   7951,  29396,  30783,  37504,  54983,     31,   2827,
75.5,   2570,    258,      0,   4626,   2604,   9321,   7944,  29396,  30783,  37504,  54983,     32,   2827,
75.5,   2570,    258,      0,   4611,   2611,   9314,   7934,  29396,  30783,  37504,  54983,     33,   2827,
75.5,   2570,    258,      0,   4603,   2614,   9311,   7926,  29396,  30783,  37504,  54983,     34,   2827,
75.5,   2570,    258,      0,   4603,   2618,   9309,   7917,  29396,  30783,  37504,  54983,     35,   2827,
75.5,   2570,    258,      0,   4587,   2623,   9302,   7909,  29396,  30783,  37504,  54983,     36,   2827,
75.5,   2570,    258,      0,   4556,   2627,   9286,   7903,  29396,  30783,  37504,  54983,     37,   2827,
75.5,   2570,    258,      0,   4548,   2632,   9280,   7894,  29396,  30783,  37504,  54983,     38,   2827,
