2,.8,   2570,    258,      0,   3234,   2290,   8641,   8540,  21125,  50240,   4074,  41295,      1,   2827,
2,.8,   2570,    258,      0,   1178,   2269,   7751,   8580,  21125,  50240,   4074,  41295,     12,   2827,
2,.8,   2570,    258,      0,   1187,   2268,   7754,   8586,  21125,  50240,   4074,  41295,     13,   2827,
2,.8,   2570,    258,      0,   1178,   2268,   7750,   8586,  21125,  50240,   4074,  41295,     14,   2827,
2,.8,   2570,    258,      0,   1187,   2266,   7752,   8590,  21125,  50240,   4074,  41295,     15,   2827,
2,.8,   2570,    258,      0,   1187,   2261,   7752,   8596,  21125,  50240,   4074,  41295,     16,   2827,
2,.8,   2570,    258,      0,   1178,   2261,   7750,   8598,  21125,  50240,   4074,  41295,     17,   2827,
2,.8,   2570,    258,      0,   1178,   2260,   7751,   8602,  21125,  50240,   4074,  41295,     18,   2827,
2,.8,   2570,    258,      0,   1178,   2257,   7751,   8605,  21125,  50240,   4074,  41295,     19,   2827,
2,.8,   2570,    258,      0,   1178,   2254,   7750,   8609,  21125,  50240,   4074,  41295,     20,   2827,
2,.8,   2570,    258,      0,   1187,   2251,   7753,   8616,  21125,  50240,   4074,  41295,     21,   2827,
2,.8,   2570,    258,      0,   1187,   2251,   7755,   8618,  21125,  50240,   4074,  41295,     22,   2827,
2,.8,   2570,    258,      0,   1198,   2247,   7757,   8624,  21125,  50240,   4074,  41295,     23,   2827,
2,.8,   2570,    258,      0,   1187,   2249,   7753,   8623,  21125,  50240,   4074,  41295,     24,   2827,
2,.8,   2570,    258,      0,   1187,   2245,   7754,   8628,  21125,  50240,   4074,  41295,     25,   2827,
2,.8,   2570,    258,      0,   1187,   2241,   7755,   8637,  21125,  50240,   4074,  41295,     26,   2827,
2,.8,   2570,    258,      0,   1198,   2241,   7759,   8639,  21125,  50240,   4074,  41295,     27,   2827,
2,.8,   2570,    258,      0,   1198,   2238,   7758,   8643,  21125,  50240,   4074,  41295,     28,   2827,
2,.8,   2570,    258,      0,   1208,   2236,   7762,   8644,  21125,  50240,   4074,  41295,     29,   2827,
2,.8,   2570,    258,      0,   1198,   2234,   7759,   8648,  21125,  50240,   4074,  41295,     30,   2827,
2,.8,   2570,    258,      0,   1217,   2232,   7765,   8654,  21125,  50240,   4074,  41295,     31,   2827,
2,.8,   2570,    258,      0,   1217,   2230,   7766,   8658,  21125,  50240,   4074,  41295,     32,   2827,
2,.8,   2570,    258,      0,   1208,   2226,   7762,   8664,  21125,  50240,   4074,  41295,     33,   2827,
2,.8,   2570,    258,      0,   1217,   2226,   7765,   8664,  21125,  50240,   4074,  41295,     34,   2827,
2,.8,   2570,    258,      0,   1227,   2220,   7770,   8676,  21125,  50240,   4074,  41295,     35,   2827,
2,.8,   2570,    258,      0,   1227,   2222,   7769,   8675,  21125,  50240,   4074,  41295,     36,   2827,
2,.8,   2570,    258,      0,   1227,   2218,   7769,   8680,  21125,  50240,   4074,  41295,     37,   2827,
