/33.6,   2570,    258,      0,   1402,   2181,   7843,   8753,    642,   5096,  58436,  61720,      1,   2827,
/33.6,   2570,    258,      0,  65512,   2168,   7279,   8777,    642,   5096,  58436,  61720,     14,   2827,
/33.6,   2570,    258,      0,  65532,   2165,   7284,   8781,    642,   5096,  58436,  61720,     15,   2827,
/33.6,   2570,    258,      0,  65521,   2165,   7281,   8783,    642,   5096,  58436,  61720,     16,   2827,
/33.6,   2570,    258,      0,  65521,   2164,   7281,   8787,    642,   5096,  58436,  61720,     17,   2827,
/33.6,   2570,    258,      0,  65512,   2162,   7278,   8789,    642,   5096,  58436,  61720,     18,   2827,
/33.6,   2570,    258,      0,  65532,   2160,   7285,   8793,    642,   5096,  58436,  61720,     19,   2827,
/33.6,   2570,    258,      0,  65532,   2160,   7284,   8795,    642,   5096,  58436,  61720,     20,   2827,
/33.6,   2570,    258,      0,  65532,   2158,   7287,   8796,    642,   5096,  58436,  61720,     21,   2827,
/33.6,   2570,    258,      0,  65532,   2155,   7284,   8802,    642,   5096,  58436,  61720,     22,   2827,
/33.6,   2570,    258,      0,  65532,   2154,   7284,   8807,    642,   5096,  58436,  61720,     23,   2827,
/33.6,   2570,    258,      0,  65532,   2154,   7286,   8804,    642,   5096,  58436,  61720,     24,   2827,
/33.6,   2570,    258,      0,      7,   2152,   7288,   8811,    642,   5096,  58436,  61720,     25,   2827,
/33.6,   2570,    258,      0,  65532,   2150,   7284,   8814,    642,   5096,  58436,  61720,     26,   2827,
/33.6,   2570,    258,      0,  65532,   2147,   7287,   8816,    642,   5096,  58436,  61720,     27,   2827,
/33.6,   2570,    258,      0,     17,   2145,   7292,   8820,    642,   5096,  58436,  61720,     28,   2827,
/33.6,   2570,    258,      0,     17,   2143,   7293,   8824,    642,   5096,  58436,  61720,     29,   2827,
/33.6,   2570,    258,      0,  65532,   2143,   7287,   8824,    642,   5096,  58436,  61720,     30,   2827,
/33.6,   2570,    258,      0,      7,   2141,   7290,   8829,    642,   5096,  58436,  61720,     31,   2827,
/33.6,   2570,    258,      0,     27,   2138,   7296,   8833,    642,   5096,  58436,  61720,     32,   2827,
/33.6,   2570,    258,      0,     17,   2138,   7293,   8835,    642,   5096,  58436,  61720,     33,   2827,
/33.6,   2570,    258,      0,     27,   2135,   7298,   8840,    642,   5096,  58436,  61720,     34,   2827,
/33.6,   2570,    258,      0,     27,   2135,   7297,   8841,    642,   5096,  58436,  61720,     35,   2827,
/33.6,   2570,    258,      0,     27,   2135,   7297,   8843,    642,   5096,  58436,  61720,     36,   2827,
/33.6,   2570,    258,      0,     27,   2131,   7297,   8848,    642,   5096,  58436,  61720,     37,   2827,
/33.6,   2570,    258,      0,     27,   2128,   7299,   8852,    642,   5096,  58436,  61720,     38,   2827,
/33.6,   2570,    258,      0,     39,   2126,   7301,   8856,    642,   5096,  58436,  61720,     39,   2827,
